method,instance_name,config,avg_gap
Vanilla,Correia_Random_4_3_10_3,set1_3types_linear,0.10313367711225704
Vanilla,Correia_Random_4_3_10_3,set1_5types_linear,0.062169312169312166
Vanilla,Correia_Random_4_3_10_4,set1_3types_linear,0.052763487666534756
Vanilla,Correia_Random_4_3_10_4,set1_5types_linear,0.07129654079746502
Vanilla,Correia_Random_4_3_10_5,set1_3types_linear,0.10192081536652293
Vanilla,Correia_Random_4_3_10_5,set1_5types_linear,0.041846475742121095
Vanilla,Correia_Random_4_3_10_6,set1_3types_linear,0.0592573084013695
Vanilla,Correia_Random_4_3_10_6,set1_5types_linear,0.07909306617453203
Vanilla,Correia_Random_4_3_10_7,set1_3types_linear,0.03571428571428571
Vanilla,Correia_Random_4_3_10_7,set1_5types_linear,0.07953340402969247
Vanilla,Correia_Random_4_3_10_8,set1_3types_linear,0.05746375865221366
Vanilla,Correia_Random_4_3_10_8,set1_5types_linear,0.04445025493528566
Vanilla,Correia_Random_4_3_10_9,set1_3types_linear,0.15864621893178213
Vanilla,Correia_Random_4_3_10_9,set1_5types_linear,0.07409367557554909
Vanilla,Correia_Random_4_3_11_1,set1_3types_linear,0.04211869814932993
Vanilla,Correia_Random_4_3_11_1,set1_5types_linear,0.06472491909385113
Vanilla,Correia_Random_4_3_11_10,set1_3types_linear,0.05683971201212581
Vanilla,Correia_Random_4_3_11_10,set1_5types_linear,0.03830928361639637
Vanilla,Correia_Random_4_3_11_2,set1_3types_linear,0.0531578281230224
Vanilla,Correia_Random_4_3_11_2,set1_5types_linear,0.016615541922290387
Vanilla,Correia_Random_4_3_11_3,set1_3types_linear,0.10994630529276399
Vanilla,Correia_Random_4_3_11_3,set1_5types_linear,0.034874709377421854
Vanilla,Correia_Random_4_3_11_4,set1_3types_linear,0.10979190603855482
Vanilla,Correia_Random_4_3_11_4,set1_5types_linear,0.028376112472591253
Vanilla,Correia_Random_4_3_11_5,set1_3types_linear,0.08579359071410547
Vanilla,Correia_Random_4_3_11_5,set1_5types_linear,0.0664366934968698
Vanilla,Correia_Random_4_3_11_6,set1_3types_linear,0.07120152574698028
Vanilla,Correia_Random_4_3_11_6,set1_5types_linear,0.032146071750032146
Vanilla,Correia_Random_4_3_11_7,set1_3types_linear,0.08409785932721711
Vanilla,Correia_Random_4_3_11_7,set1_5types_linear,0.05816207832493214
Vanilla,Correia_Random_4_3_11_8,set1_3types_linear,0.09583858764186633
Vanilla,Correia_Random_4_3_11_8,set1_5types_linear,0.06389776357827476
Vanilla,Correia_Random_4_3_11_9,set1_3types_linear,0.061099796334012225
Vanilla,Correia_Random_4_3_11_9,set1_5types_linear,0.04509147127029116
Vanilla,Correia_Random_4_3_9_1,set1_3types_linear,0.03060545575515635
Vanilla,Correia_Random_4_3_9_1,set1_5types_linear,0.042643923240938165
Vanilla,Correia_Random_4_3_9_10,set1_3types_linear,0.09248249438499141
Vanilla,Correia_Random_4_3_9_10,set1_5types_linear,0.08853065539112051
Vanilla,Correia_Random_4_3_9_2,set1_3types_linear,0.20243450648319658
Vanilla,Correia_Random_4_3_9_2,set1_5types_linear,0.04496759687871975
Vanilla,Correia_Random_4_3_9_3,set1_3types_linear,0.12757475083056477
Vanilla,Correia_Random_4_3_9_3,set1_5types_linear,0.05049833887043189
Vanilla,Correia_Random_4_3_9_4,set1_3types_linear,0.04778338200159278
Vanilla,Correia_Random_4_3_9_4,set1_5types_linear,0.10759829968119021
Vanilla,Correia_Random_4_3_9_5,set1_3types_linear,0.06033578174186779
Vanilla,Correia_Random_4_3_9_5,set1_5types_linear,0.02098911189820281
Vanilla,Correia_Random_4_3_9_6,set1_3types_linear,0.14723438121766813
Vanilla,Correia_Random_4_3_9_6,set1_5types_linear,0.11010878217033697
Vanilla,Correia_Random_4_3_9_7,set1_3types_linear,0.06254990684056427
Vanilla,Correia_Random_4_3_9_7,set1_5types_linear,0.0626249167221852
Vanilla,Correia_Random_4_3_9_8,set1_3types_linear,0.056541748849441166
Vanilla,Correia_Random_4_3_9_8,set1_5types_linear,0.04866500065763514
Vanilla,Correia_Random_4_3_9_9,set1_3types_linear,0.08771929824561404
Vanilla,Correia_Random_4_3_9_9,set1_5types_linear,0.07449780497538912
Vanilla,HS_Random_4_10_1,set2_7types_concave,0.12024243606785283
Vanilla,HS_Random_4_10_1,set2_7types_convex,0.016578008741131883
Vanilla,HS_Random_4_10_1,set2_7types_linear,0.04802771435320054
Vanilla,HS_Random_4_10_10,set2_7types_concave,0.10155338170354596
Vanilla,HS_Random_4_10_10,set2_7types_convex,0.02596573842819263
Vanilla,HS_Random_4_10_10,set2_7types_linear,0.046634540649774604
Vanilla,HS_Random_4_10_2,set2_7types_concave,0.1162254068496478
Vanilla,HS_Random_4_10_2,set2_7types_convex,0.01255678457022312
Vanilla,HS_Random_4_10_2,set2_7types_linear,0.06116687578419071
Vanilla,HS_Random_4_10_3,set2_7types_concave,0.1393024117851036
Vanilla,HS_Random_4_10_3,set2_7types_convex,0.022857454585129017
Vanilla,HS_Random_4_10_3,set2_7types_linear,0.015404760070861898
Vanilla,HS_Random_4_10_4,set2_7types_concave,0.14137282946606936
Vanilla,HS_Random_4_10_4,set2_7types_convex,0.015746064841209082
Vanilla,HS_Random_4_10_4,set2_7types_linear,0.059637586971481006
Vanilla,HS_Random_4_10_5,set2_7types_concave,0.10766152297474803
Vanilla,HS_Random_4_10_5,set2_7types_convex,0.012450283370702963
Vanilla,HS_Random_4_10_5,set2_7types_linear,0.0578997461928934
Vanilla,HS_Random_4_10_6,set2_7types_concave,0.06565694247556517
Vanilla,HS_Random_4_10_6,set2_7types_convex,0.016947798498094087
Vanilla,HS_Random_4_10_6,set2_7types_linear,0.05385419178522627
Vanilla,HS_Random_4_10_7,set2_7types_concave,0.13012843057593654
Vanilla,HS_Random_4_10_7,set2_7types_convex,0.016498339018571777
Vanilla,HS_Random_4_10_7,set2_7types_linear,0.03441263882371344
Vanilla,HS_Random_4_10_8,set2_7types_concave,0.0768099561259586
